major,major_name,gpa,cert_count,english_test_taken,gender,high_income,high_satisfaction,regular_employment,cohort
6.0,의약,,0.0,0,2.0,1,0,1,2024
1.0,인문,3.68,0.0,1,2.0,0,1,0,2024
2.0,사회,,0.0,0,2.0,0,0,0,2024
,,,1.0,0,2.0,0,0,1,2024
2.0,사회,,0.0,0,2.0,1,1,1,2024
4.0,공학,,0.0,0,2.0,0,0,1,2024
4.0,공학,,0.0,0,2.0,1,1,0,2024
4.0,공학,,1.0,0,2.0,1,1,1,2024
1.0,인문,,0.0,0,2.0,0,1,0,2024
2.0,사회,,0.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,1,0,1,2024
2.0,사회,,0.0,0,2.0,1,0,1,2024
2.0,사회,,1.0,0,2.0,1,1,1,2024
7.0,예체능,,0.0,0,2.0,0,0,1,2024
2.0,사회,,0.0,0,2.0,0,0,1,2024
,,,0.0,0,2.0,0,0,1,2024
2.0,사회,,0.0,1,2.0,1,1,0,2024
2.0,사회,,0.0,0,2.0,1,0,1,2024
,,,0.0,0,2.0,0,0,1,2024
2.0,사회,,0.0,0,2.0,0,1,0,2024
6.0,의약,,0.0,0,2.0,1,1,1,2024
4.0,공학,3.8,0.0,0,2.0,1,1,1,2024
4.0,공학,,1.0,0,1.0,1,1,1,2024
4.0,공학,,0.0,0,1.0,0,0,1,2024
6.0,의약,,0.0,0,2.0,1,1,1,2024
5.0,자연,3.8,0.0,0,2.0,0,0,1,2024
4.0,공학,,0.0,0,1.0,1,1,1,2024
5.0,자연,,0.0,0,2.0,0,1,1,2024
4.0,공학,,0.0,0,1.0,1,1,1,2024
4.0,공학,,0.0,0,2.0,0,1,1,2024
2.0,사회,3.5,0.0,0,2.0,0,1,1,2024
7.0,예체능,,0.0,0,1.0,0,1,0,2024
2.0,사회,4.4,0.0,0,1.0,0,1,1,2024
2.0,사회,,0.0,0,2.0,1,1,1,2024
4.0,공학,,0.0,0,2.0,0,0,1,2024
4.0,공학,3.73,0.0,0,2.0,0,1,0,2024
6.0,의약,4.186,0.0,0,2.0,1,1,1,2024
7.0,예체능,,0.0,0,1.0,0,0,1,2024
6.0,의약,,1.0,0,1.0,0,0,0,2024
1.0,인문,,2.0,0,2.0,0,0,0,2024
4.0,공학,,1.0,1,1.0,0,1,0,2024
2.0,사회,3.977,0.0,0,2.0,0,1,0,2024
2.0,사회,,0.0,0,1.0,0,1,0,2024
2.0,사회,,0.0,0,1.0,0,0,0,2024
4.0,공학,,0.0,0,1.0,1,1,1,2024
6.0,의약,,1.0,0,1.0,0,0,0,2024
4.0,공학,,0.0,0,1.0,0,0,0,2024
6.0,의약,3.938,0.0,0,1.0,0,1,1,2024
4.0,공학,,0.0,0,1.0,0,1,1,2024
7.0,예체능,,0.0,0,1.0,0,0,1,2024
1.0,인문,,0.0,0,1.0,0,1,1,2024
1.0,인문,3.9,0.0,1,2.0,0,1,1,2024
7.0,예체능,,0.0,0,2.0,0,0,0,2024
4.0,공학,,1.0,0,1.0,0,0,1,2024
6.0,의약,4.0,0.0,0,2.0,1,1,1,2024
2.0,사회,4.3,0.0,0,2.0,1,1,1,2024
7.0,예체능,,0.0,0,2.0,1,1,0,2024
4.0,공학,3.8,0.0,0,1.0,1,0,1,2024
4.0,공학,,0.0,0,2.0,1,1,1,2024
5.0,자연,,0.0,0,2.0,1,1,1,2024
7.0,예체능,,0.0,0,2.0,0,0,0,2024
7.0,예체능,,0.0,0,2.0,0,1,1,2024
7.0,예체능,,0.0,0,2.0,1,1,1,2024
7.0,예체능,,0.0,0,2.0,1,1,1,2024
,,,3.0,0,1.0,1,1,1,2024
,,,1.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,0,1,0,2024
4.0,공학,,0.0,1,1.0,0,0,1,2024
,,,0.0,0,1.0,0,1,1,2024
4.0,공학,2.9,0.0,0,1.0,0,1,1,2024
7.0,예체능,,0.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,0,1,0,2024
7.0,예체능,3.9,0.0,0,1.0,0,0,0,2024
,,,1.0,0,2.0,0,0,0,2024
,,,0.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,1,1,1,2024
,,,0.0,0,1.0,1,0,1,2024
6.0,의약,,0.0,0,2.0,0,0,0,2024
,,,0.0,0,2.0,1,0,1,2024
,,,0.0,0,2.0,0,1,0,2024
2.0,사회,,1.0,0,1.0,0,1,0,2024
2.0,사회,,0.0,0,1.0,1,1,1,2024
5.0,자연,,0.0,0,1.0,0,0,0,2024
1.0,인문,,1.0,0,2.0,0,0,0,2024
4.0,공학,,0.0,0,2.0,1,1,1,2024
6.0,의약,,0.0,0,2.0,1,1,1,2024
4.0,공학,3.8,0.0,0,2.0,1,1,1,2024
2.0,사회,,0.0,0,1.0,0,0,0,2024
2.0,사회,,0.0,1,2.0,1,0,1,2024
2.0,사회,3.8,0.0,0,2.0,1,1,1,2024
